                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.1563,                 2.1414,                 2.4662,                0.05377,                   0.35,                0.05008,                0.00616,                  4.082,                 613.95,                 9.3325,               0.068256,              0.0022556,              0.0022556
                     36,                 1.8056,                  2.218,                 1.9263,                0.05377,                   0.35,                0.05008,                0.00616,                  4.082,                 613.95,                 9.3325,               0.067287,              0.0022873,              0.0022873
                     37,                 2.2492,                 2.1171,                 2.1471,                0.00669,                   0.35,                0.03891,                0.00389,                 4.3197,                 5209.2,                 62.263,               0.066317,               0.002317,               0.002317
                     38,                 1.8935,                  2.224,                 1.9148,                0.00669,                   0.35,                0.03891,                0.00389,                 4.3197,                 5209.2,                 62.263,               0.065345,              0.0023447,              0.0023447
                     39,                 2.4046,                 2.9686,                 2.2351,                0.00669,                   0.35,                0.03891,                0.00389,                 4.8298,                  64467,                 302.53,                0.06437,              0.0023704,              0.0023704
                     40,                 1.9603,                 2.0595,                 1.9905,                0.00669,                   0.35,                0.03891,                0.00389,                 4.8298,                  64467,                 302.53,               0.063394,              0.0023942,              0.0023942
                     41,                 1.8176,                 1.8456,                 1.9984,                0.00669,                   0.35,                0.03891,                0.00389,                 5.1608,                  55386,                 447.16,               0.062416,               0.002416,               0.002416
                     42,                 2.1736,                  2.141,                 2.0933,                0.00669,                   0.35,                0.03891,                0.00389,                 5.1608,                  55386,                 447.16,               0.061436,              0.0024358,              0.0024358
                     43,                 1.6584,                 1.7677,                 1.7945,                0.00338,                    0.1,                0.02574,                0.00257,                 4.8315,                  15518,                 308.29,               0.060454,              0.0024536,              0.0024536
                     44,                  1.766,                  2.116,                 1.7953,                0.00338,                    0.1,                0.02574,                0.00257,                 4.8315,                  15518,                 308.29,               0.059469,              0.0024695,              0.0024695
                     45,                 2.0046,                 1.9836,                 1.8976,                0.00338,                    0.1,                0.02574,                0.00257,                 5.1808,                 8213.6,                 329.08,               0.058483,              0.0024834,              0.0024834
                     46,                 1.8817,                 1.9591,                 1.7566,                0.00338,                    0.1,                0.02574,                0.00257,                 5.1808,                 8213.6,                 329.08,               0.057495,              0.0024953,              0.0024953
                     47,                 2.2862,                 2.2185,                 2.2592,                0.00338,                    0.1,                0.02574,                0.00257,                   4.62,                  10961,                 355.64,               0.056505,              0.0025052,              0.0025052
                     48,                 1.6088,                 1.5551,                 1.6697,                0.00338,                    0.1,                0.02574,                0.00257,                   4.62,                  10961,                 355.64,               0.055513,              0.0025131,              0.0025131
                     49,                 1.9038,                 2.0273,                 1.9819,                0.00909,                    0.1,                 0.0058,                0.00172,                 4.0104,                 7843.1,                 242.39,               0.054519,               0.002519,               0.002519
                     50,                 1.8962,                  2.286,                 1.8055,                0.00909,                    0.1,                 0.0058,                0.00172,                 4.0104,                 7843.1,                 242.39,               0.053523,               0.002523,               0.002523
                     51,                 2.0928,                 2.0388,                 2.1358,                 0.0183,                   0.55,                0.03136,                0.00426,                 4.0823,                 4423.7,                 144.16,               0.052525,               0.002525,               0.002525
