                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.5896,                  1.958,                 1.8835,                0.11498,                    0.2,                0.12831,                0.05346,                 2.4416,                 17.624,                  3.775,               0.006634,               0.006634,               0.006634
                     37,                 1.5007,                 1.8917,                  1.791,                0.08413,                0.26667,                0.16413,                0.05212,                 2.4221,                 33.228,                  3.823,               0.006535,               0.006535,               0.006535
                     38,                 1.3939,                 1.7795,                 1.6957,                  0.875,                    0.1,                0.19514,                0.04853,                 2.6461,                 33.879,                 4.0903,               0.006436,               0.006436,               0.006436
                     39,                  1.514,                 1.9106,                 1.7757,                      1,                    0.1,                0.20021,                0.03447,                 2.7389,                 23.208,                 3.9444,               0.006337,               0.006337,               0.006337
                     40,                 1.5213,                 1.9088,                 1.8439,                0.09138,                0.26667,                 0.1612,                0.03401,                 2.6143,                 13.962,                  3.606,               0.006238,               0.006238,               0.006238
                     41,                 1.3851,                 1.7808,                 1.7171,                0.13011,                0.33333,                0.21116,                0.05769,                 2.3507,                 6.3023,                 3.1248,               0.006139,               0.006139,               0.006139
                     42,                 1.4792,                 1.7556,                 1.8236,                0.20921,                0.59167,                0.22555,                0.06887,                 2.2351,                 4.2672,                 3.1069,                0.00604,                0.00604,                0.00604
                     43,                 1.4089,                 1.8304,                 1.7471,                0.23423,                0.64524,                0.25285,                0.08628,                 2.2643,                 4.9478,                 3.1429,               0.005941,               0.005941,               0.005941
                     44,                 1.3227,                 1.7343,                 1.6488,                0.20624,                0.60343,                0.26463,                0.09793,                  2.169,                 6.8629,                 3.0642,               0.005842,               0.005842,               0.005842
                     45,                 1.3702,                 1.7227,                 1.6432,                0.34582,                0.49786,                0.31095,                0.10363,                 2.0061,                 9.4282,                 2.8606,               0.005743,               0.005743,               0.005743
                     46,                 1.3861,                 1.7467,                 1.6713,                0.26496,                  0.625,                 0.3231,                0.13852,                 1.9044,                  10.15,                 2.7556,               0.005644,               0.005644,               0.005644
                     47,                 1.3643,                 1.7509,                 1.6791,                 0.2557,                0.57619,                0.35256,                 0.1412,                 1.9915,                 8.9127,                  2.878,               0.005545,               0.005545,               0.005545
                     48,                  1.374,                 1.6637,                 1.6742,                 0.3514,                0.54048,                0.39018,                0.16296,                 2.0093,                 5.7096,                 2.9446,               0.005446,               0.005446,               0.005446
                     49,                 1.3956,                 1.6982,                 1.7124,                0.25794,                0.37368,                 0.3859,                0.16245,                 1.8781,                  4.511,                 2.9029,               0.005347,               0.005347,               0.005347
                     50,                 1.2809,                 1.5708,                 1.5834,                0.25989,                0.32505,                0.33936,                0.14967,                  1.927,                 3.5473,                 2.9337,               0.005248,               0.005248,               0.005248
                     51,                  1.292,                 1.6474,                 1.6499,                 0.2149,                0.60952,                0.31897,                0.13868,                 1.9904,                 3.0069,                 3.0237,               0.005149,               0.005149,               0.005149
                     52,                 1.3753,                 1.6943,                 1.7339,                0.35613,                0.53143,                0.36466,                0.16009,                 2.0141,                 2.5996,                 3.0059,                0.00505,                0.00505,                0.00505
                     53,                  1.272,                  1.645,                 1.6678,                0.36183,                0.64401,                 0.4165,                0.18462,                 1.9279,                 2.2493,                 2.8005,               0.004951,               0.004951,               0.004951
                     54,                 1.3453,                 1.6658,                 1.6524,                0.30321,                 0.5989,                0.41853,                0.19249,                 1.8744,                 2.1821,                 2.6733,               0.004852,               0.004852,               0.004852
                     55,                  1.351,                 1.6366,                 1.7084,                0.34508,                0.45317,                0.39916,                0.16582,                 2.0457,                 2.6041,                 2.6871,               0.004753,               0.004753,               0.004753
                     56,                 1.3339,                 1.6957,                 1.6753,                0.31881,                0.37857,                0.31091,                0.12065,                 2.3178,                 2.7457,                 2.9576,               0.004654,               0.004654,               0.004654
                     57,                 1.3105,                 1.5626,                 1.6195,                0.42344,                0.36071,                0.35786,                 0.1276,                 2.4231,                 2.5766,                 2.9894,               0.004555,               0.004555,               0.004555
                     58,                 1.3152,                 1.6408,                 1.6713,                0.25658,                0.49405,                0.30081,                0.13643,                 2.3191,                 2.5183,                  2.929,               0.004456,               0.004456,               0.004456
                     59,                 1.3429,                 1.6879,                 1.6872,                0.26873,                0.59881,                0.32763,                0.12331,                 2.3136,                 2.3565,                 2.8044,               0.004357,               0.004357,               0.004357
                     60,                 1.2791,                 1.6005,                 1.5991,                0.35825,                   0.65,                0.46371,                0.17219,                  2.012,                 2.2919,                 2.5995,               0.004258,               0.004258,               0.004258
                     61,                 1.2505,                  1.501,                 1.5762,                0.39664,                0.62976,                0.44527,                0.17834,                 1.8827,                 2.2898,                 2.6272,               0.004159,               0.004159,               0.004159
                     62,                 1.3138,                 1.6607,                 1.6342,                0.35516,                0.57619,                0.46498,                0.22954,                 1.8742,                 2.3058,                 2.5789,                0.00406,                0.00406,                0.00406
                     63,                 1.2947,                 1.6174,                 1.5976,                0.49591,                0.71429,                 0.6041,                0.26991,                 1.7964,                 2.1812,                 2.5865,               0.003961,               0.003961,               0.003961
