                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.3138,                  1.376,                 1.5127,                0.16218,                    0.5,                0.26317,                0.09863,                 1.9846,                 16.431,                 2.9998,               0.006634,               0.006634,               0.006634
                     37,                 1.5301,                 1.6694,                 1.7074,                0.24124,                0.63636,                0.32435,                0.14014,                  1.947,                 12.727,                 2.9149,               0.006535,               0.006535,               0.006535
                     38,                 1.3568,                 1.4911,                 1.5638,                0.27263,                0.46859,                0.34746,                0.14269,                 2.0903,                 10.537,                 3.0628,               0.006436,               0.006436,               0.006436
                     39,                 1.3893,                 1.4871,                 1.5596,                0.33455,                0.45455,                 0.3633,                0.13061,                 1.9895,                 7.1194,                 2.6721,               0.006337,               0.006337,               0.006337
                     40,                 1.5015,                 1.6109,                 1.6343,                0.40423,                0.40909,                0.31068,                0.13957,                  1.932,                 5.6752,                 2.5292,               0.006238,               0.006238,               0.006238
                     41,                 1.3137,                 1.4692,                 1.5513,                0.33208,                0.34091,                0.28365,                0.13427,                 2.0807,                 5.8678,                  2.869,               0.006139,               0.006139,               0.006139
                     42,                 1.4084,                 1.5237,                 1.6317,                0.28337,                0.38636,                0.19303,                0.09635,                 2.0332,                 5.9133,                 2.7252,                0.00604,                0.00604,                0.00604
                     43,                 1.3099,                 1.4325,                 1.5208,                0.41942,                0.43182,                0.33623,                0.14783,                 1.9137,                 4.6179,                 2.3936,               0.005941,               0.005941,               0.005941
                     44,                 1.3601,                 1.3599,                 1.4988,                0.40611,                0.47727,                0.42848,                 0.2237,                  1.778,                 4.3038,                 2.2327,               0.005842,               0.005842,               0.005842
                     45,                 1.4994,                 1.8117,                   1.75,                0.52703,                0.30411,                0.36785,                0.20095,                  1.853,                 4.1688,                 2.3438,               0.005743,               0.005743,               0.005743
                     46,                 1.3233,                 1.3566,                 1.5096,                0.35503,                0.45455,                0.41608,                0.19638,                 1.7716,                 3.1993,                 2.2525,               0.005644,               0.005644,               0.005644
                     47,                 1.3369,                 1.5222,                 1.5726,                0.51398,                0.52273,                0.52052,                0.22841,                 1.7585,                 2.5114,                 2.2796,               0.005545,               0.005545,               0.005545
                     48,                 1.2121,                 1.3925,                 1.4511,                0.49842,                0.65909,                0.58235,                0.26078,                 1.8039,                 2.3343,                 2.3613,               0.005446,               0.005446,               0.005446
                     49,                 1.3317,                 1.4556,                 1.5037,                0.59531,                0.52273,                0.58974,                0.25404,                 1.8544,                 2.3552,                 2.5342,               0.005347,               0.005347,               0.005347
                     50,                 1.2602,                 1.4188,                 1.5205,                0.44408,                0.61364,                0.56447,                0.25673,                 1.8803,                 2.4323,                 2.5079,               0.005248,               0.005248,               0.005248
                     51,                 1.2043,                 1.3684,                 1.4857,                0.41346,                0.65909,                0.53664,                0.26069,                 1.9641,                  2.361,                  2.542,               0.005149,               0.005149,               0.005149
                     52,                 1.1921,                 1.2549,                 1.4643,                0.53562,                0.54545,                0.57543,                0.27096,                  1.923,                 2.1708,                 2.5254,                0.00505,                0.00505,                0.00505
                     53,                 1.3113,                 1.3872,                 1.5221,                 0.6966,                0.46981,                0.58431,                0.29048,                 1.8398,                 1.8878,                 2.3584,               0.004951,               0.004951,               0.004951
                     54,                 1.4494,                 1.6525,                 1.7214,                0.66279,                0.52273,                0.61375,                0.31631,                 1.7521,                  1.594,                 2.3023,               0.004852,               0.004852,               0.004852
                     55,                 1.2401,                 1.2995,                 1.4313,                0.63698,                0.55844,                0.58895,                0.31536,                 1.6361,                 1.5489,                 2.1701,               0.004753,               0.004753,               0.004753
                     56,                 1.1385,                 1.3548,                 1.3504,                0.82914,                0.52273,                0.67359,                0.33449,                 1.5635,                 1.5029,                 2.0804,               0.004654,               0.004654,               0.004654
                     57,                 1.2369,                  1.395,                  1.449,                0.90549,                0.52273,                0.68955,                0.37151,                 1.4728,                 1.4248,                      2,               0.004555,               0.004555,               0.004555
                     58,                  1.236,                  1.503,                 1.3903,                0.90073,                    0.5,                 0.6951,                0.37251,                 1.4987,                 1.5002,                 1.9988,               0.004456,               0.004456,               0.004456
                     59,                 1.1574,                 1.3536,                  1.494,                0.69899,                0.56818,                0.65439,                 0.3594,                 1.4737,                 1.6154,                 1.9634,               0.004357,               0.004357,               0.004357
                     60,                 1.1569,                 1.3111,                 1.3357,                0.69363,                0.54545,                0.64437,                0.34696,                 1.4863,                  1.767,                 1.9596,               0.004258,               0.004258,               0.004258
                     61,                 1.2035,                 1.3143,                 1.3867,                0.58564,                0.61039,                0.61373,                0.35228,                 1.4695,                 1.8514,                 1.9326,               0.004159,               0.004159,               0.004159
                     62,                 1.2987,                 1.5823,                 1.5953,                0.55103,                0.56818,                0.63585,                0.37132,                 1.4571,                 1.7977,                 1.9318,                0.00406,                0.00406,                0.00406
                     63,                 1.1182,                 1.1765,                 1.4142,                0.59365,                0.63095,                0.66805,                0.38256,                 1.5011,                 1.6083,                 2.0372,               0.003961,               0.003961,               0.003961
                     64,                 1.1033,                 1.1749,                 1.3409,                0.70506,                0.65909,                0.69748,                0.39403,                 1.5501,                 1.5765,                 2.1537,               0.003862,               0.003862,               0.003862
                     65,                 1.2475,                 1.2463,                 1.4384,                0.73886,                0.61364,                0.72147,                0.40815,                 1.5366,                 1.5348,                  2.154,               0.003763,               0.003763,               0.003763
                     66,                 1.2271,                 1.3118,                 1.4435,                0.82531,                0.64438,                0.74476,                0.40822,                 1.4926,                 1.5015,                 2.0572,               0.003664,               0.003664,               0.003664
                     67,                 1.0203,                 1.0997,                 1.2684,                0.71102,                0.65909,                0.73468,                0.38835,                  1.522,                 1.6389,                 2.0579,               0.003565,               0.003565,               0.003565
                     68,                 1.1001,                 1.2031,                 1.3478,                0.63166,                0.59091,                0.67766,                0.34373,                 1.5388,                 1.9492,                 2.0296,               0.003466,               0.003466,               0.003466
                     69,                 1.2497,                 1.3277,                 1.4865,                0.67964,                0.48227,                0.62014,                0.31715,                 1.5619,                 2.3813,                 2.0034,               0.003367,               0.003367,               0.003367
                     70,                 1.1709,                 1.2716,                 1.4176,                0.64121,                0.45455,                0.59703,                0.34258,                 1.5245,                 2.3487,                 1.9908,               0.003268,               0.003268,               0.003268
                     71,                  1.207,                  1.236,                 1.5263,                0.47377,                0.65483,                 0.6185,                0.37292,                 1.4128,                 2.2277,                 1.9074,               0.003169,               0.003169,               0.003169
                     72,                 1.0813,                 1.1566,                 1.3846,                0.55261,                0.61364,                0.64033,                0.38274,                 1.3354,                 1.9332,                 1.8401,                0.00307,                0.00307,                0.00307
                     73,                 1.1175,                 1.1703,                 1.3189,                0.56952,                0.72727,                 0.7004,                0.41337,                  1.286,                 1.4885,                 1.7923,               0.002971,               0.002971,               0.002971
                     74,                  1.142,                 1.1447,                 1.3955,                0.59968,                0.72727,                0.71321,                 0.3948,                  1.336,                 1.3817,                  1.821,               0.002872,               0.002872,               0.002872
                     75,                 1.0331,                 1.1662,                 1.3632,                0.63423,                0.63636,                0.68211,                0.36517,                 1.3925,                 1.3918,                 1.8726,               0.002773,               0.002773,               0.002773
                     76,                 1.0737,                 1.1423,                 1.3568,                0.64413,                0.61364,                0.68448,                0.36941,                 1.4561,                 1.4095,                 1.8898,               0.002674,               0.002674,               0.002674
                     77,                 1.1258,                 1.1242,                 1.3682,                0.65384,                0.61364,                0.68488,                0.39471,                 1.4591,                 1.3892,                 1.8688,               0.002575,               0.002575,               0.002575
                     78,                 1.0755,                 1.2639,                 1.4244,                0.77322,                0.69752,                0.75086,                0.41024,                 1.4409,                  1.354,                 1.8439,               0.002476,               0.002476,               0.002476
